*******************************************************************************
 Date__(UT)__HR:MN     R.A._(ICRF/J2000.0)_DEC
**********************************************
$$SOE
 2015-Aug-26 00:00     08 54 02.82 +18 36 14.6
 2015-Aug-27 00:00     08 56 38.67 +18 25 58.9
 2015-Aug-28 00:00     08 59 14.10 +18 15 36.1
 2015-Aug-29 00:00     09 01 49.11 +18 05 06.3
 2015-Aug-30 00:00     09 04 23.71 +17 54 29.5
 2015-Aug-31 00:00     09 06 57.90 +17 43 46.0
 2015-Sep-01 00:00     09 09 31.68 +17 32 55.8
 2015-Sep-02 00:00     09 12 05.07 +17 21 59.0
 2015-Sep-03 00:00     09 14 38.05 +17 10 55.7
 2015-Sep-04 00:00     09 17 10.64 +16 59 46.0
 2015-Sep-05 00:00     09 19 42.83 +16 48 30.1
 2015-Sep-06 00:00     09 22 14.63 +16 37 08.0
 2015-Sep-07 00:00     09 24 46.03 +16 25 39.9
 2015-Sep-08 00:00     09 27 17.05 +16 14 05.9
 2015-Sep-09 00:00     09 29 47.67 +16 02 26.2
 2015-Sep-10 00:00     09 32 17.91 +15 50 40.7
 2015-Sep-11 00:00     09 34 47.76 +15 38 49.7
 2015-Sep-12 00:00     09 37 17.22 +15 26 53.2
 2015-Sep-13 00:00     09 39 46.30 +15 14 51.4
 2015-Sep-14 00:00     09 42 15.00 +15 02 44.3
 2015-Sep-15 00:00     09 44 43.32 +14 50 32.2
 2015-Sep-16 00:00     09 47 11.26 +14 38 15.1
 2015-Sep-17 00:00     09 49 38.82 +14 25 53.0
 2015-Sep-18 00:00     09 52 06.00 +14 13 26.3
 2015-Sep-19 00:00     09 54 32.82 +14 00 54.8
 2015-Sep-20 00:00     09 56 59.27 +13 48 18.8
 2015-Sep-21 00:00     09 59 25.35 +13 35 38.3
 2015-Sep-22 00:00     10 01 51.07 +13 22 53.5
 2015-Sep-23 00:00     10 04 16.44 +13 10 04.5
 2015-Sep-24 00:00     10 06 41.45 +12 57 11.3
 2015-Sep-25 00:00     10 09 06.12 +12 44 14.0
 2015-Sep-26 00:00     10 11 30.45 +12 31 12.9
 2015-Sep-27 00:00     10 13 54.44 +12 18 07.8
 2015-Sep-28 00:00     10 16 18.10 +12 04 59.0
 2015-Sep-29 00:00     10 18 41.44 +11 51 46.6
 2015-Sep-30 00:00     10 21 04.47 +11 38 30.6
 2015-Oct-01 00:00     10 23 27.19 +11 25 11.1
 2015-Oct-02 00:00     10 25 49.59 +11 11 48.2
 2015-Oct-03 00:00     10 28 11.70 +10 58 22.1
 2015-Oct-04 00:00     10 30 33.51 +10 44 52.9
 2015-Oct-05 00:00     10 32 55.03 +10 31 20.6
 2015-Oct-06 00:00     10 35 16.25 +10 17 45.3
 2015-Oct-07 00:00     10 37 37.18 +10 04 07.3
 2015-Oct-08 00:00     10 39 57.83 +09 50 26.5
 2015-Oct-09 00:00     10 42 18.19 +09 36 43.1
 2015-Oct-10 00:00     10 44 38.27 +09 22 57.2
 2015-Oct-11 00:00     10 46 58.07 +09 09 08.9
 2015-Oct-12 00:00     10 49 17.60 +08 55 18.3
 2015-Oct-13 00:00     10 51 36.85 +08 41 25.5
 2015-Oct-14 00:00     10 53 55.84 +08 27 30.7
 2015-Oct-15 00:00     10 56 14.55 +08 13 33.8
 2015-Oct-16 00:00     10 58 33.00 +07 59 35.2
 2015-Oct-17 00:00     11 00 51.19 +07 45 34.7
 2015-Oct-18 00:00     11 03 09.13 +07 31 32.5
 2015-Oct-19 00:00     11 05 26.80 +07 17 28.8
 2015-Oct-20 00:00     11 07 44.23 +07 03 23.7
 2015-Oct-21 00:00     11 10 01.42 +06 49 17.1
 2015-Oct-22 00:00     11 12 18.36 +06 35 09.2
 2015-Oct-23 00:00     11 14 35.07 +06 21 00.2
 2015-Oct-24 00:00     11 16 51.54 +06 06 50.0
 2015-Oct-25 00:00     11 19 07.80 +05 52 38.9
 2015-Oct-26 00:00     11 21 23.83 +05 38 26.7
 2015-Oct-27 00:00     11 23 39.66 +05 24 13.8
 2015-Oct-28 00:00     11 25 55.28 +05 10 00.0
 2015-Oct-29 00:00     11 28 10.71 +04 55 45.6
 2015-Oct-30 00:00     11 30 25.93 +04 41 30.6
 2015-Oct-31 00:00     11 32 40.97 +04 27 15.1
 2015-Nov-01 00:00     11 34 55.83 +04 12 59.2
 2015-Nov-02 00:00     11 37 10.50 +03 58 43.0
 2015-Nov-03 00:00     11 39 24.98 +03 44 26.5
 2015-Nov-04 00:00     11 41 39.30 +03 30 10.0
 2015-Nov-05 00:00     11 43 53.43 +03 15 53.5
 2015-Nov-06 00:00     11 46 07.39 +03 01 37.1
 2015-Nov-07 00:00     11 48 21.18 +02 47 20.8
 2015-Nov-08 00:00     11 50 34.80 +02 33 04.9
 2015-Nov-09 00:00     11 52 48.25 +02 18 49.3
 2015-Nov-10 00:00     11 55 01.53 +02 04 34.3
 2015-Nov-11 00:00     11 57 14.64 +01 50 19.8
 2015-Nov-12 00:00     11 59 27.59 +01 36 06.1
 2015-Nov-13 00:00     12 01 40.38 +01 21 53.1
 2015-Nov-14 00:00     12 03 53.01 +01 07 41.0
 2015-Nov-15 00:00     12 06 05.48 +00 53 29.9
 2015-Nov-16 00:00     12 08 17.79 +00 39 19.9
 2015-Nov-17 00:00     12 10 29.94 +00 25 11.0
 2015-Nov-18 00:00     12 12 41.95 +00 11 03.4
 2015-Nov-19 00:00     12 14 53.80 -00 03 02.9
 2015-Nov-20 00:00     12 17 05.51 -00 17 07.8
 2015-Nov-21 00:00     12 19 17.08 -00 31 11.1
 2015-Nov-22 00:00     12 21 28.52 -00 45 12.9
 2015-Nov-23 00:00     12 23 39.82 -00 59 13.1
 2015-Nov-24 00:00     12 25 50.99 -01 13 11.5
 2015-Nov-25 00:00     12 28 02.04 -01 27 08.0
 2015-Nov-26 00:00     12 30 12.97 -01 41 02.8
 2015-Nov-27 00:00     12 32 23.78 -01 54 55.5
 2015-Nov-28 00:00     12 34 34.48 -02 08 46.2
 2015-Nov-29 00:00     12 36 45.07 -02 22 34.8
 2015-Nov-30 00:00     12 38 55.54 -02 36 21.1
 2015-Dec-01 00:00     12 41 05.91 -02 50 05.2
 2015-Dec-02 00:00     12 43 16.17 -03 03 46.8
 2015-Dec-03 00:00     12 45 26.32 -03 17 26.0
 2015-Dec-04 00:00     12 47 36.35 -03 31 02.6
 2015-Dec-05 00:00     12 49 46.28 -03 44 36.5
 2015-Dec-06 00:00     12 51 56.09 -03 58 07.6
 2015-Dec-07 00:00     12 54 05.79 -04 11 35.9
 2015-Dec-08 00:00     12 56 15.37 -04 25 01.2
 2015-Dec-09 00:00     12 58 24.84 -04 38 23.5
 2015-Dec-10 00:00     13 00 34.18 -04 51 42.7
 2015-Dec-11 00:00     13 02 43.41 -05 04 58.6
 2015-Dec-12 00:00     13 04 52.51 -05 18 11.2
 2015-Dec-13 00:00     13 07 01.49 -05 31 20.5
 2015-Dec-14 00:00     13 09 10.34 -05 44 26.2
 2015-Dec-15 00:00     13 11 19.06 -05 57 28.4
 2015-Dec-16 00:00     13 13 27.65 -06 10 27.0
 2015-Dec-17 00:00     13 15 36.12 -06 23 21.8
 2015-Dec-18 00:00     13 17 44.45 -06 36 12.8
 2015-Dec-19 00:00     13 19 52.66 -06 49 00.0
 2015-Dec-20 00:00     13 22 00.74 -07 01 43.3
 2015-Dec-21 00:00     13 24 08.69 -07 14 22.6
 2015-Dec-22 00:00     13 26 16.51 -07 26 57.8
 2015-Dec-23 00:00     13 28 24.21 -07 39 28.9
 2015-Dec-24 00:00     13 30 31.78 -07 51 55.8
 2015-Dec-25 00:00     13 32 39.23 -08 04 18.5
 2015-Dec-26 00:00     13 34 46.55 -08 16 36.9
 2015-Dec-27 00:00     13 36 53.74 -08 28 50.9
 2015-Dec-28 00:00     13 39 00.80 -08 41 00.5
 2015-Dec-29 00:00     13 41 07.72 -08 53 05.5
 2015-Dec-30 00:00     13 43 14.50 -09 05 06.0
 2015-Dec-31 00:00     13 45 21.13 -09 17 01.7
 2016-Jan-01 00:00     13 47 27.62 -09 28 52.8
 2016-Jan-02 00:00     13 49 33.94 -09 40 39.0
 2016-Jan-03 00:00     13 51 40.10 -09 52 20.4
 2016-Jan-04 00:00     13 53 46.10 -10 03 56.7
 2016-Jan-05 00:00     13 55 51.91 -10 15 28.1
 2016-Jan-06 00:00     13 57 57.54 -10 26 54.3
 2016-Jan-07 00:00     14 00 02.98 -10 38 15.4
 2016-Jan-08 00:00     14 02 08.21 -10 49 31.2
 2016-Jan-09 00:00     14 04 13.24 -11 00 41.7
 2016-Jan-10 00:00     14 06 18.04 -11 11 46.8
 2016-Jan-11 00:00     14 08 22.62 -11 22 46.4
 2016-Jan-12 00:00     14 10 26.97 -11 33 40.6
 2016-Jan-13 00:00     14 12 31.07 -11 44 29.1
 2016-Jan-14 00:00     14 14 34.92 -11 55 12.1
 2016-Jan-15 00:00     14 16 38.52 -12 05 49.3
 2016-Jan-16 00:00     14 18 41.86 -12 16 20.8
 2016-Jan-17 00:00     14 20 44.93 -12 26 46.6
 2016-Jan-18 00:00     14 22 47.73 -12 37 06.6
 2016-Jan-19 00:00     14 24 50.25 -12 47 20.7
 2016-Jan-20 00:00     14 26 52.48 -12 57 29.0
 2016-Jan-21 00:00     14 28 54.42 -13 07 31.4
 2016-Jan-22 00:00     14 30 56.07 -13 17 27.9
 2016-Jan-23 00:00     14 32 57.40 -13 27 18.4
 2016-Jan-24 00:00     14 34 58.42 -13 37 02.9
 2016-Jan-25 00:00     14 36 59.12 -13 46 41.3
 2016-Jan-26 00:00     14 38 59.48 -13 56 13.7
 2016-Jan-27 00:00     14 40 59.48 -14 05 40.0
 2016-Jan-28 00:00     14 42 59.12 -14 15 00.1
 2016-Jan-29 00:00     14 44 58.39 -14 24 14.1
 2016-Jan-30 00:00     14 46 57.26 -14 33 21.8
 2016-Jan-31 00:00     14 48 55.72 -14 42 23.3
 2016-Feb-01 00:00     14 50 53.76 -14 51 18.5
 2016-Feb-02 00:00     14 52 51.36 -15 00 07.3
 2016-Feb-03 00:00     14 54 48.50 -15 08 49.9
 2016-Feb-04 00:00     14 56 45.16 -15 17 26.0
 2016-Feb-05 00:00     14 58 41.32 -15 25 55.7
 2016-Feb-06 00:00     15 00 36.97 -15 34 19.0
 2016-Feb-07 00:00     15 02 32.09 -15 42 35.8
 2016-Feb-08 00:00     15 04 26.65 -15 50 46.1
 2016-Feb-09 00:00     15 06 20.64 -15 58 49.9
 2016-Feb-10 00:00     15 08 14.04 -16 06 47.2
 2016-Feb-11 00:00     15 10 06.83 -16 14 37.9
 2016-Feb-12 00:00     15 11 58.98 -16 22 22.1
 2016-Feb-13 00:00     15 13 50.50 -16 29 59.8
 2016-Feb-14 00:00     15 15 41.35 -16 37 31.0
 2016-Feb-15 00:00     15 17 31.53 -16 44 55.6
 2016-Feb-16 00:00     15 19 21.01 -16 52 13.8
 2016-Feb-17 00:00     15 21 09.78 -16 59 25.5
 2016-Feb-18 00:00     15 22 57.82 -17 06 30.8
 2016-Feb-19 00:00     15 24 45.12 -17 13 29.6
 2016-Feb-20 00:00     15 26 31.64 -17 20 22.0
 2016-Feb-21 00:00     15 28 17.37 -17 27 08.0
 2016-Feb-22 00:00     15 30 02.29 -17 33 47.7
 2016-Feb-23 00:00     15 31 46.37 -17 40 21.1
 2016-Feb-24 00:00     15 33 29.58 -17 46 48.1
 2016-Feb-25 00:00     15 35 11.90 -17 53 08.9
 2016-Feb-26 00:00     15 36 53.31 -17 59 23.4
 2016-Feb-27 00:00     15 38 33.76 -18 05 31.7
 2016-Feb-28 00:00     15 40 13.23 -18 11 33.7
 2016-Feb-29 00:00     15 41 51.68 -18 17 29.6
 2016-Mar-01 00:00     15 43 29.09 -18 23 19.3
 2016-Mar-02 00:00     15 45 05.43 -18 29 02.9
 2016-Mar-03 00:00     15 46 40.64 -18 34 40.5
 2016-Mar-04 00:00     15 48 14.71 -18 40 12.0
 2016-Mar-05 00:00     15 49 47.58 -18 45 37.4
 2016-Mar-06 00:00     15 51 19.23 -18 50 56.9
 2016-Mar-07 00:00     15 52 49.62 -18 56 10.4
 2016-Mar-08 00:00     15 54 18.70 -19 01 18.0
 2016-Mar-09 00:00     15 55 46.45 -19 06 19.8
 2016-Mar-10 00:00     15 57 12.82 -19 11 15.8
 2016-Mar-11 00:00     15 58 37.78 -19 16 06.0
 2016-Mar-12 00:00     16 00 01.29 -19 20 50.5
 2016-Mar-13 00:00     16 01 23.33 -19 25 29.5
 2016-Mar-14 00:00     16 02 43.85 -19 30 02.9
 2016-Mar-15 00:00     16 04 02.83 -19 34 30.8
 2016-Mar-16 00:00     16 05 20.22 -19 38 53.4
 2016-Mar-17 00:00     16 06 36.00 -19 43 10.6
 2016-Mar-18 00:00     16 07 50.12 -19 47 22.7
 2016-Mar-19 00:00     16 09 02.54 -19 51 29.6
